Date,Open,High,Low,Close,Volume,Adj Close
2007-03-02,32.09,32.25,31.11,31.48,2821800,31.48
2007-03-01,32.20,32.58,31.71,32.08,2495500,32.08
2007-02-28,33.14,33.40,32.29,32.71,3578800,32.71
2007-02-27,34.40,34.76,33.15,33.28,1308900,33.28
2007-02-26,34.67,35.01,34.31,34.90,1623000,34.90
2007-02-23,34.32,34.76,34.04,34.45,1227100,34.45
2007-02-22,34.65,35.00,34.41,34.50,1044000,34.50
2007-02-21,34.86,34.90,34.38,34.55,1156600,34.55
2007-02-20,34.88,35.13,34.64,34.84,1814400,34.84
2007-02-16,35.20,35.45,34.77,34.88,1016000,34.88
2007-02-15,35.33,35.55,35.15,35.39,1047900,35.39
2007-02-14,34.75,35.44,34.70,35.27,1547600,35.27
2007-02-13,34.40,34.67,34.10,34.22,1625800,34.22
2007-02-12,34.75,34.75,33.96,34.12,1324800,34.12
2007-02-09,35.15,35.80,34.47,34.85,1841800,34.85
2007-02-08,34.71,35.21,34.71,35.15,1690100,35.15
2007-02-07,34.51,35.37,34.46,35.02,1967300,35.02
2007-02-06,34.57,34.65,34.29,34.50,1744000,34.50
2007-02-05,35.00,35.00,34.49,34.73,1320000,34.73
2007-02-02,34.90,35.17,34.81,35.14,1193400,35.14
2007-02-01,35.19,35.19,34.48,34.84,1176300,34.84
2007-01-31,34.93,35.16,34.52,35.16,754000,35.16
2007-01-30,35.00,35.25,34.93,35.11,940100,35.11
2007-01-29,35.30,35.87,34.80,34.89,1207900,34.89
2007-01-26,34.90,35.65,34.90,35.41,2557100,35.41
2007-01-25,35.24,35.49,34.83,34.90,1121900,34.90
2007-01-24,35.23,35.44,34.94,35.24,1749500,35.24
2007-01-23,35.95,35.95,35.18,35.22,2082900,35.22
2007-01-22,36.21,36.43,35.63,35.95,1905700,35.95
2007-01-19,34.60,37.32,34.60,36.21,5550400,36.21
2007-01-18,34.16,34.73,34.16,34.46,2182000,34.46
2007-01-17,34.37,34.54,33.96,34.16,2422400,34.16
2007-01-16,34.45,34.65,33.96,34.17,1848600,34.17
2007-01-12,33.52,34.44,33.51,34.38,2069000,34.38
2007-01-11,33.51,34.07,33.41,33.90,1990800,33.90
2007-01-10,32.75,33.52,32.65,33.43,1807700,33.43
2007-01-09,32.42,33.66,32.15,32.75,1881400,32.75
2007-01-08,32.09,32.63,31.87,32.41,1247100,32.41
2007-01-05,32.10,32.50,31.75,32.09,2028200,32.09
2007-01-04,31.70,32.28,31.70,32.05,3002700,32.05
2007-01-03,32.49,32.86,31.14,31.56,2342300,31.56
2006-12-29,32.26,32.54,32.09,32.30,580300,32.30
2006-12-28,32.21,32.50,32.15,32.25,715000,32.25
2006-12-27,31.92,32.26,31.84,32.21,703000,32.21
2006-12-26,32.21,32.27,31.92,31.93,588000,31.93
2006-12-22,33.10,33.14,32.10,32.22,1616900,32.22
2006-12-21,33.16,33.33,32.86,33.09,742300,33.09
2006-12-20,33.32,33.66,33.07,33.14,710100,33.14
2006-12-19,33.30,33.43,32.84,33.18,803600,33.18
2006-12-18,33.80,34.00,33.21,33.32,623500,33.32
2006-12-15,33.70,33.92,33.48,33.80,1233400,33.80
2006-12-14,33.23,33.67,33.23,33.58,886300,33.58
2006-12-13,33.80,33.80,33.09,33.30,1153200,33.30
2006-12-12,34.18,34.42,33.63,33.67,789200,33.67
2006-12-11,34.21,34.61,34.02,34.28,763900,34.28
2006-12-08,34.52,34.60,34.03,34.26,577400,34.26
2006-12-07,34.62,34.89,34.30,34.43,981000,34.43
2006-12-06,34.10,34.92,34.10,34.65,1525900,34.65
2006-12-05,34.16,34.30,33.67,33.80,1178200,33.80
2006-12-04,34.05,34.26,33.95,34.08,1078500,34.08
2006-12-01,34.55,34.85,34.09,34.19,728900,34.19
2006-11-30,34.98,35.29,34.46,34.46,1920200,34.46
2006-11-29,34.46,35.08,34.40,34.80,1713700,34.80
2006-11-28,34.80,34.80,34.26,34.40,1057100,34.40
2006-11-27,35.00,35.00,34.70,34.80,1055800,34.80
2006-11-24,34.65,35.00,34.58,34.93,195800,34.93
2006-11-22,34.77,34.97,34.74,34.93,707700,34.93
2006-11-21,34.46,34.83,34.46,34.83,1178300,34.83
2006-11-20,34.37,34.66,34.28,34.53,754100,34.53
2006-11-17,34.75,34.88,34.33,34.55,1202500,34.55
2006-11-16,33.53,34.39,33.53,34.20,1544100,34.20
2006-11-15,33.18,33.42,33.04,33.35,1111500,33.35
2006-11-14,32.94,33.09,32.84,33.04,767700,33.04
2006-11-13,32.71,32.95,32.67,32.77,1321900,32.77
2006-11-10,32.88,32.92,32.41,32.78,842600,32.78
2006-11-09,33.29,33.43,32.80,33.07,1075200,33.07
2006-11-08,32.31,33.70,32.31,33.11,1567000,33.11
2006-11-07,33.55,34.05,33.50,33.72,1131500,33.72
2006-11-06,33.55,33.95,33.30,33.62,847100,33.62
2006-11-03,33.79,33.79,33.21,33.45,629200,33.45
2006-11-02,33.21,33.56,33.02,33.53,904700,33.53
2006-11-01,33.73,33.86,33.06,33.20,727100,33.20
